True_Gesture,Predicted_Gesture,Confusion_Rate,Raw_Count
thumb_click,middle_release,0.3314429741650914,526
index_release,middle_release,0.2931073446327684,1297
thumb_in,middle_release,0.24935600206079342,484
middle_release,index_release,0.23418573351278602,1044
thumb_up,middle_release,0.19153329891584925,371
thumb_click,index_release,0.18840579710144928,299
thumb_out,middle_release,0.16853360488798372,331
thumb_in,index_release,0.16640906749098403,323
index_press,middle_press,0.16528183247249045,736
thumb_click,thumb_in,0.16446124763705103,261
thumb_out,index_release,0.159877800407332,314
middle_press,index_press,0.14589870013446885,651
thumb_up,index_release,0.13267940113577698,257
thumb_out,middle_press,0.12932790224032586,254
thumb_up,thumb_out,0.11925658234383067,231
middle_press,middle_release,0.11878081577767817,530
thumb_down,middle_press,0.11777188328912466,222
thumb_down,middle_release,0.11671087533156499,220
thumb_up,index_press,0.11409395973154363,221
middle_release,middle_press,0.10116644235082997,451
